epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.36739447712898254,0.22986070811748505,0.6326055526733398,1e-04,0.2982647120952606,0.8102263808250427,0.23222598433494568,0.13274267315864563,0.7677739262580872,0.607509195804596,0.11399085819721222
1,0.5025079846382141,0.3401292860507965,0.4974919259548187,1e-04,0.5175971984863281,0.8004672527313232,0.3005506098270416,0.17782427370548248,0.6994494199752808,0.7770469784736633,0.2613987922668457
2,0.573840320110321,0.4072601795196533,0.42615967988967896,1e-04,0.6093169450759888,0.7969228625297546,0.4342029392719269,0.279857337474823,0.565796971321106,0.6151690483093262,0.5228903889656067
3,0.6217347383499146,0.45610377192497253,0.3782653212547302,1e-04,0.6679837703704834,0.8041358590126038,0.4908657670021057,0.32927170395851135,0.5091342329978943,0.4692844748497009,0.719831645488739
4,0.6583154797554016,0.4956835210323334,0.34168457984924316,1e-04,0.7111554145812988,0.809924840927124,0.49750757217407227,0.3360360860824585,0.502492368221283,0.4272710084915161,0.7787640690803528
5,0.6886263489723206,0.5301005244255066,0.31137365102767944,1e-04,0.7445613145828247,0.8150102496147156,0.48942825198173523,0.32984301447868347,0.5105717182159424,0.3928029239177704,0.8136410713195801
6,0.714218258857727,0.5603466033935547,0.2857818305492401,1e-04,0.7709066271781921,0.8188073039054871,0.49188709259033203,0.3326181173324585,0.508112907409668,0.38692528009414673,0.8206836581230164
7,0.7362951636314392,0.5873534679412842,0.2637048661708832,1e-04,0.792411744594574,0.822810709476471,0.4963490664958954,0.3371511399745941,0.5036509037017822,0.38649848103523254,0.826101541519165
8,0.7566997408866882,0.6132730841636658,0.2433004230260849,1e-04,0.8113349676132202,0.828228771686554,0.4965763986110687,0.3378288149833679,0.5034235715866089,0.38157325983047485,0.829314112663269
9,0.7752587199211121,0.6375024914741516,0.2247411608695984,1e-04,0.8289024233818054,0.8334680199623108,0.4690689146518707,0.3143919110298157,0.5309311151504517,0.34113743901252747,0.8719479441642761
10,0.7907446026802063,0.6581337451934814,0.20925547182559967,1e-04,0.8431256413459778,0.8371922969818115,0.45902732014656067,0.30596283078193665,0.5409726500511169,0.3271849751472473,0.8935244679450989
11,0.8050889372825623,0.6777962446212769,0.19491107761859894,1e-04,0.8561370968818665,0.8415172696113586,0.4472571313381195,0.2960594892501831,0.5527428984642029,0.3138403594493866,0.9088255763053894
12,0.8098489046096802,0.6843982338905334,0.19015099108219147,1e-04,0.8583972454071045,0.837705135345459,0.46456754207611084,0.31085243821144104,0.5354325175285339,0.3305298686027527,0.9070897102355957
13,0.8189623951911926,0.6970845460891724,0.18103769421577454,1e-04,0.8653479814529419,0.8395546674728394,0.481533944606781,0.3250049650669098,0.518466055393219,0.34783995151519775,0.9167568683624268
14,0.8318724036216736,0.7155681848526001,0.16812759637832642,1e-04,0.87610924243927,0.8465865850448608,0.48203161358833313,0.3257101774215698,0.5179684162139893,0.3476548194885254,0.916020929813385
15,0.8371585607528687,0.7237573862075806,0.16284169256687164,1e-05,0.8760294318199158,0.85389643907547,0.5866489410400391,0.42268940806388855,0.41335105895996094,0.4871891438961029,0.824268102645874
16,0.8446639180183411,0.7343291640281677,0.1553361564874649,1e-05,0.8920922875404358,0.8522926568984985,0.602766215801239,0.4386548101902008,0.3972336947917938,0.5128070116043091,0.8177911043167114
17,0.8475692272186279,0.7385684847831726,0.15243054926395416,1e-05,0.8957890272140503,0.8538617491722107,0.6168040037155151,0.4529729187488556,0.38319599628448486,0.53546541929245,0.8133258819580078
18,0.8498256206512451,0.7418882250785828,0.15017439424991608,1e-05,0.8983008861541748,0.8551287055015564,0.6290645599365234,0.4656875729560852,0.37093546986579895,0.5549175143241882,0.8100365400314331
19,0.8517665266990662,0.7447659373283386,0.14823362231254578,1e-05,0.90022873878479,0.8563443422317505,0.6403855681419373,0.47770169377326965,0.35961440205574036,0.5740677118301392,0.8047378063201904
20,0.8535344004631042,0.7474008202552795,0.1464654505252838,1e-05,0.9019249081611633,0.8574399948120117,0.6501641869544983,0.4882012605667114,0.34983590245246887,0.5905582904815674,0.8001022338867188
21,0.8552332520484924,0.7499420642852783,0.14476673305034637,1e-05,0.903514564037323,0.8584656119346619,0.6586626768112183,0.49737676978111267,0.34133732318878174,0.6055059432983398,0.7950970530509949
22,0.8568561673164368,0.7523805499076843,0.14314378798007965,1e-05,0.9049692749977112,0.8594511151313782,0.66737961769104,0.5068016648292542,0.33262041211128235,0.6219051480293274,0.7883328795433044
23,0.8584201335906982,0.7547390460968018,0.14157970249652863,1e-05,0.9063754081726074,0.860405683517456,0.6732819080352783,0.5132935047149658,0.3267180323600769,0.6326256394386292,0.784809947013855
24,0.8599011301994324,0.7569793462753296,0.14009875059127808,1e-05,0.9076220393180847,0.861312747001648,0.6804155111312866,0.521203875541687,0.3195844292640686,0.6472381949424744,0.7782329320907593
