epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.3541219234466553,0.21968264877796173,0.6458780169487,1e-04,0.2860596179962158,0.7870556712150574,0.26128679513931274,0.15202473104000092,0.7387132048606873,0.2558806538581848,0.8754180669784546
1,0.5065879225730896,0.34388020634651184,0.4934120774269104,1e-04,0.4923267960548401,0.7921832203865051,0.3168944716453552,0.18954166769981384,0.6831055283546448,0.6275500655174255,0.4175027906894684
2,0.5877074599266052,0.42091551423072815,0.41229256987571716,1e-04,0.6100232601165771,0.7869080901145935,0.3892000913619995,0.2429528385400772,0.6107999086380005,0.731431782245636,0.3854607939720154
3,0.641072154045105,0.4765436053276062,0.35892775654792786,1e-04,0.6787075400352478,0.7948146462440491,0.45916175842285156,0.30017122626304626,0.5408381819725037,0.7696982026100159,0.4086371660232544
4,0.6792542934417725,0.5189419984817505,0.32074597477912903,1e-04,0.7218112945556641,0.7995761632919312,0.5163313746452332,0.35128268599510193,0.48366865515708923,0.7618870139122009,0.451093465089798
5,0.7113686203956604,0.5566422343254089,0.2886313796043396,1e-04,0.756062924861908,0.8057994842529297,0.5445657968521118,0.37798744440078735,0.4554341733455658,0.7722381949424744,0.4672912657260895
6,0.7374635934829712,0.5886507630348206,0.2625366151332855,1e-04,0.7818782925605774,0.8114962577819824,0.5735356211662292,0.40657177567481995,0.4264644682407379,0.7857559323310852,0.49154114723205566
7,0.759782612323761,0.616912305355072,0.2402174323797226,1e-04,0.8052678108215332,0.8151794672012329,0.6095839142799377,0.44281384348869324,0.39041611552238464,0.7252066135406494,0.569108784198761
8,0.7776861786842346,0.6404753923416138,0.22231383621692657,1e-04,0.821039617061615,0.8203239440917969,0.6235392689704895,0.45753541588783264,0.3764607310295105,0.726891040802002,0.5823436379432678
9,0.7930558919906616,0.6609328389167786,0.20694415271282196,1e-04,0.8361014127731323,0.8231785297393799,0.6342342495918274,0.4710295498371124,0.3657657504081726,0.81520015001297,0.5347533822059631
10,0.8045675754547119,0.6768009066581726,0.19543232023715973,1e-04,0.8464832901954651,0.8257618546485901,0.6479791402816772,0.4847288429737091,0.3520207703113556,0.6751422882080078,0.6575458645820618
11,0.8175662755966187,0.694908857345581,0.1824338287115097,1e-04,0.8581743240356445,0.8304552435874939,0.6641424894332886,0.5027431845664978,0.3358575403690338,0.7345196604728699,0.6257726550102234
12,0.830398440361023,0.7132863998413086,0.16960158944129944,1e-04,0.8708464503288269,0.8359827399253845,0.661655604839325,0.5019095540046692,0.33834439516067505,0.8181820511817932,0.5566706657409668
13,0.8362869024276733,0.7216740846633911,0.16371296346187592,1e-04,0.8763716220855713,0.8350446820259094,0.6708471179008484,0.5125831961631775,0.3291528820991516,0.8104221820831299,0.5777320265769958
14,0.8430496454238892,0.7318715453147888,0.15695039927959442,1e-04,0.8834790587425232,0.8360820412635803,0.665082573890686,0.5067896246910095,0.33491745591163635,0.8334712386131287,0.550266444683075
