epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.40228328108787537,0.25948667526245117,0.5977166891098022,1e-04,0.41590872406959534,0.6182236075401306,0.27557674050331116,0.1618330031633377,0.7244232296943665,0.25659042596817017,0.9075080752372742
1,0.5668017864227295,0.40094223618507385,0.4331982433795929,1e-04,0.554961621761322,0.7603384256362915,0.38005530834198,0.23820427060127258,0.61994469165802,0.3502330482006073,0.7618215680122375
2,0.6296061277389526,0.46495750546455383,0.3703938126564026,1e-04,0.6392351388931274,0.7616121172904968,0.4576685130596161,0.30086201429367065,0.5423315167427063,0.44324222207069397,0.6512224078178406
3,0.6739104390144348,0.5137280821800232,0.3260895013809204,1e-04,0.6952297687530518,0.7675688862800598,0.5034968256950378,0.34074172377586365,0.49650320410728455,0.5136831402778625,0.5858033299446106
4,0.708293080329895,0.5537275075912476,0.29170700907707214,1e-04,0.7351251840591431,0.7757511138916016,0.5323342680931091,0.36778169870376587,0.4676656723022461,0.5492013692855835,0.5732468366622925
5,0.7353939414024353,0.586696445941925,0.26460614800453186,1e-04,0.7641348838806152,0.7841001152992249,0.5456695556640625,0.38039034605026245,0.4543304145336151,0.6083610653877258,0.5271996259689331
6,0.7577545642852783,0.6148360371589661,0.24224552512168884,1e-04,0.78852778673172,0.790967583656311,0.564108669757843,0.3983308672904968,0.43589141964912415,0.6177311539649963,0.5451980829238892
7,0.7757967114448547,0.6382043957710266,0.2242031991481781,1e-04,0.8077991604804993,0.7967953681945801,0.5896415710449219,0.4241475462913513,0.4103584289550781,0.6688361763954163,0.5456628203392029
8,0.7902860045433044,0.6575074791908264,0.20971378684043884,1e-04,0.8230159282684326,0.8011201024055481,0.5924774408340454,0.4282502830028534,0.4075225293636322,0.7694228291511536,0.4845833480358124
9,0.8037422299385071,0.6757341623306274,0.19625774025917053,1e-04,0.8382917046546936,0.8054265379905701,0.6068780422210693,0.4435596168041229,0.39312201738357544,0.7613264322280884,0.5060838460922241
10,0.8158778548240662,0.692522406578064,0.18412229418754578,1e-04,0.8522363305091858,0.8092832565307617,0.6217749714851379,0.45910537242889404,0.3782249987125397,0.7411378622055054,0.5376267433166504
11,0.8267339468002319,0.7078244090080261,0.17326626181602478,1e-04,0.8641182780265808,0.8137691617012024,0.611786961555481,0.44841277599334717,0.38821303844451904,0.7530863285064697,0.5110570192337036
12,0.8343142867088318,0.718880832195282,0.16568568348884583,1e-04,0.8722476959228516,0.8155814409255981,0.6352202892303467,0.47316285967826843,0.36477965116500854,0.7732117772102356,0.5344381928443909
13,0.8414604663848877,0.729167103767395,0.15853922069072723,1e-04,0.8782691955566406,0.820336639881134,0.5981661081314087,0.43574121594429016,0.4018338620662689,0.8394177556037903,0.44795215129852295
14,0.847856342792511,0.7383875250816345,0.15214382112026215,1e-04,0.8845843076705933,0.8231309652328491,0.6483362317085266,0.48722776770591736,0.351663738489151,0.7387177348136902,0.573663592338562
15,0.8523821234703064,0.7451819777488708,0.14761799573898315,1e-04,0.888434648513794,0.8248717188835144,0.6253003478050232,0.4629330039024353,0.3746996521949768,0.5645713210105896,0.7178733944892883
16,0.8617026805877686,0.7594260573387146,0.13829731941223145,1e-04,0.8971983194351196,0.8329532146453857,0.6612293720245361,0.5009817481040955,0.33877065777778625,0.6918309330940247,0.6364389061927795
17,0.8696237206459045,0.7717399001121521,0.13037613034248352,1e-04,0.9059638381004333,0.8378530144691467,0.6789863705635071,0.5213334560394287,0.3210136294364929,0.7498850226402283,0.6144760251045227
18,0.8746823668479919,0.7792935371398926,0.12531740963459015,1e-04,0.910613477230072,0.8411999940872192,0.69196617603302,0.5350068807601929,0.30803382396698,0.7343335151672363,0.6553020477294922
19,0.8796206116676331,0.7872525453567505,0.12037944793701172,1e-04,0.9160400629043579,0.8433074951171875,0.6770366430282593,0.5180928111076355,0.32296326756477356,0.6718803644180298,0.6955225467681885
20,0.8838410377502441,0.7939045429229736,0.11615902185440063,1e-04,0.9202654361724854,0.8462725877761841,0.6680136919021606,0.508626401424408,0.33198630809783936,0.6214739084243774,0.7495410442352295
